image_relpath,dropout_p,std_hamming
n000001_0005_01.jpg,0.2,1.206952691078186
n000001_0012_01.jpg,0.2,1.1642638444900513
n000001_0024_01.jpg,0.2,1.7677381038665771
n000002_0003_01.jpg,0.2,1.6654962301254272
n000002_0012_01.jpg,0.2,1.2747148275375366
n000002_0013_01.jpg,0.2,1.4383947849273682
n000003_0002_01.jpg,0.2,1.4692771434783936
n000003_0003_01.jpg,0.2,1.2811028957366943
n000003_0007_01.jpg,0.2,1.54866623878479
n000004_0002_02.jpg,0.2,1.0669430494308472
n000004_0004_02.jpg,0.2,0.9897433519363403
n000004_0007_01.jpg,0.2,1.7129756212234497
n000005_0003_01.jpg,0.2,1.3125765323638916
n000005_0005_01.jpg,0.2,1.4049475193023682
n000005_0011_01.jpg,0.2,1.4119027853012085
n000006_0004_04.jpg,0.2,1.5167096853256226
n000006_0006_01.jpg,0.2,0.6272714138031006
n000006_0009_01.jpg,0.2,1.0946996212005615
n000007_0007_01.jpg,0.2,1.2975645065307617
n000007_0012_01.jpg,0.2,1.1399964094161987
n000007_0016_01.jpg,0.2,1.787142276763916
n000008_0002_01.jpg,0.2,1.0350983142852783
n000008_0003_01.jpg,0.2,1.1082253456115723
n000008_0004_01.jpg,0.2,1.1703828573226929
n000010_0012_01.jpg,0.2,1.7023392915725708
n000010_0014_01.jpg,0.2,1.1045361757278442
n000010_0015_01.jpg,0.2,1.6970562934875488
n000011_0005_01.jpg,0.2,1.399125099182129
n000011_0006_01.jpg,0.2,1.3439205884933472
n000011_0011_01.jpg,0.2,1.208135724067688
n000012_0006_01.jpg,0.2,1.554978847503662
n000012_0006_02.jpg,0.2,1.4541988372802734
n000012_0007_01.jpg,0.2,1.1712543964385986
n000013_0003_01.jpg,0.2,1.7567362785339355
n000013_0006_01.jpg,0.2,1.352850317955017
n000013_0010_01.jpg,0.2,1.3893178701400757
n000014_0002_01.jpg,0.2,1.2950454950332642
n000014_0003_01.jpg,0.2,1.3998541831970215
n000014_0004_01.jpg,0.2,1.3703864812850952
n000015_0007_01.jpg,0.2,2.6468310356140137
n000015_0010_01.jpg,0.2,1.4950257539749146
n000015_0012_01.jpg,0.2,1.2534035444259644
n000016_0003_01.jpg,0.2,1.4658005237579346
n000016_0004_01.jpg,0.2,1.538618564605713
n000016_0005_01.jpg,0.2,1.2237447500228882
n000017_0001_01.jpg,0.2,1.6488709449768066
n000017_0002_02.jpg,0.2,1.1021314859390259
n000017_0021_01.jpg,0.2,1.249489665031433
n000018_0001_01.jpg,0.2,1.238168478012085
n000022_0021_01.jpg,0.2,1.474269151687622
n000001_0005_01.jpg,0.4,1.9192899465560913
n000001_0012_01.jpg,0.4,1.6956125497817993
n000001_0024_01.jpg,0.4,2.0227279663085938
n000002_0003_01.jpg,0.4,1.8290177583694458
n000002_0012_01.jpg,0.4,2.1594595909118652
n000002_0013_01.jpg,0.4,1.717734694480896
n000003_0002_01.jpg,0.4,1.820069432258606
n000003_0003_01.jpg,0.4,1.6536909341812134
n000003_0007_01.jpg,0.4,2.0138297080993652
n000004_0002_02.jpg,0.4,1.5643998384475708
n000004_0004_02.jpg,0.4,1.8605462312698364
n000004_0007_01.jpg,0.4,2.024442434310913
n000005_0003_01.jpg,0.4,1.6463937759399414
n000005_0005_01.jpg,0.4,1.5868079662322998
n000005_0011_01.jpg,0.4,1.5364947319030762
n000006_0004_04.jpg,0.4,2.0626909732818604
n000006_0006_01.jpg,0.4,1.0544366836547852
n000006_0009_01.jpg,0.4,1.606745958328247
n000007_0007_01.jpg,0.4,1.1876920461654663
n000007_0012_01.jpg,0.4,1.3032143115997314
n000007_0016_01.jpg,0.4,1.9192898273468018
n000008_0002_01.jpg,0.4,0.9391703009605408
n000008_0003_01.jpg,0.4,1.7646183967590332
n000008_0004_01.jpg,0.4,1.4033488035202026
n000010_0012_01.jpg,0.4,2.0299794673919678
n000010_0014_01.jpg,0.4,1.743091344833374
n000010_0015_01.jpg,0.4,1.9546908140182495
n000011_0005_01.jpg,0.4,1.6636570692062378
n000011_0006_01.jpg,0.4,1.6293230056762695
n000011_0011_01.jpg,0.4,1.9955049753189087
n000012_0006_01.jpg,0.4,1.8926279544830322
n000012_0006_02.jpg,0.4,1.6333264112472534
n000012_0007_01.jpg,0.4,1.8543936014175415
n000013_0003_01.jpg,0.4,1.9630255699157715
n000013_0006_01.jpg,0.4,1.9737046957015991
n000013_0010_01.jpg,0.4,2.0
n000014_0002_01.jpg,0.4,1.9509285688400269
n000014_0003_01.jpg,0.4,1.664025068283081
n000014_0004_01.jpg,0.4,1.7775239944458008
n000015_0007_01.jpg,0.4,1.8608753681182861
n000015_0010_01.jpg,0.4,1.7594062089920044
n000015_0012_01.jpg,0.4,1.8423587083816528
n000016_0003_01.jpg,0.4,1.7023392915725708
n000016_0004_01.jpg,0.4,1.8110769987106323
n000016_0005_01.jpg,0.4,1.6621843576431274
n000017_0001_01.jpg,0.4,1.7746514081954956
n000017_0002_02.jpg,0.4,1.577391266822815
n000017_0021_01.jpg,0.4,1.287459135055542
n000018_0001_01.jpg,0.4,1.800680160522461
n000022_0021_01.jpg,0.4,1.6047123670578003
n000001_0005_01.jpg,0.6,2.1849205493927
n000001_0012_01.jpg,0.6,2.1415233612060547
n000001_0024_01.jpg,0.6,2.4074714183807373
n000002_0003_01.jpg,0.6,2.709092855453491
n000002_0012_01.jpg,0.6,2.66963267326355
n000002_0013_01.jpg,0.6,2.626396417617798
n000003_0002_01.jpg,0.6,1.7427400350570679
n000003_0003_01.jpg,0.6,2.7888991832733154
n000003_0007_01.jpg,0.6,2.652761459350586
n000004_0002_02.jpg,0.6,2.19693660736084
n000004_0004_02.jpg,0.6,2.2205898761749268
n000004_0007_01.jpg,0.6,2.1159260272979736
n000005_0003_01.jpg,0.6,2.3925905227661133
n000005_0005_01.jpg,0.6,1.615738868713379
n000005_0011_01.jpg,0.6,1.9086270332336426
n000006_0004_04.jpg,0.6,2.8391575813293457
n000006_0006_01.jpg,0.6,1.7099945545196533
n000006_0009_01.jpg,0.6,2.160971164703369
n000007_0007_01.jpg,0.6,2.3529398441314697
n000007_0012_01.jpg,0.6,2.034799337387085
n000007_0016_01.jpg,0.6,2.441143751144409
n000008_0002_01.jpg,0.6,1.6432918310165405
n000008_0003_01.jpg,0.6,2.063877820968628
n000008_0004_01.jpg,0.6,1.4269992113113403
n000010_0012_01.jpg,0.6,2.0957682132720947
n000010_0014_01.jpg,0.6,2.3668630123138428
n000010_0015_01.jpg,0.6,2.3295791149139404
n000011_0005_01.jpg,0.6,1.8687548637390137
n000011_0006_01.jpg,0.6,1.9820624589920044
n000011_0011_01.jpg,0.6,2.1403796672821045
n000012_0006_01.jpg,0.6,2.4701480865478516
n000012_0006_02.jpg,0.6,1.8731180429458618
n000012_0007_01.jpg,0.6,2.3904571533203125
n000013_0003_01.jpg,0.6,2.046001672744751
n000013_0006_01.jpg,0.6,1.8295756578445435
n000013_0010_01.jpg,0.6,1.9783521890640259
n000014_0002_01.jpg,0.6,2.123147487640381
n000014_0003_01.jpg,0.6,2.693605422973633
n000014_0004_01.jpg,0.6,2.0021417140960693
n000015_0007_01.jpg,0.6,2.3516385555267334
n000015_0010_01.jpg,0.6,2.409928560256958
n000015_0012_01.jpg,0.6,2.625153064727783
n000016_0003_01.jpg,0.6,2.525381565093994
n000016_0004_01.jpg,0.6,2.5321602821350098
n000016_0005_01.jpg,0.6,2.0691120624542236
n000017_0001_01.jpg,0.6,1.9555258750915527
n000017_0002_02.jpg,0.6,2.0082483291625977
n000017_0021_01.jpg,0.6,2.132450819015503
n000018_0001_01.jpg,0.6,1.8147917985916138
n000022_0021_01.jpg,0.6,2.109260320663452
n000001_0005_01.jpg,0.8,2.2282052040100098
n000001_0012_01.jpg,0.8,2.469074010848999
n000001_0024_01.jpg,0.8,2.610809564590454
n000002_0003_01.jpg,0.8,3.2915475368499756
n000002_0012_01.jpg,0.8,3.033217430114746
n000002_0013_01.jpg,0.8,3.1076600551605225
n000003_0002_01.jpg,0.8,2.286071300506592
n000003_0003_01.jpg,0.8,2.9791107177734375
n000003_0007_01.jpg,0.8,2.7804713249206543
n000004_0002_02.jpg,0.8,3.7125823497772217
n000004_0004_02.jpg,0.8,2.6713902950286865
n000004_0007_01.jpg,0.8,2.8082242012023926
n000005_0003_01.jpg,0.8,3.159759759902954
n000005_0005_01.jpg,0.8,2.239624500274658
n000005_0011_01.jpg,0.8,2.81577205657959
n000006_0004_04.jpg,0.8,3.163632869720459
n000006_0006_01.jpg,0.8,2.731822967529297
n000006_0009_01.jpg,0.8,3.1334924697875977
n000007_0007_01.jpg,0.8,3.0602121353149414
n000007_0012_01.jpg,0.8,2.638490676879883
n000007_0016_01.jpg,0.8,2.978562593460083
n000008_0002_01.jpg,0.8,2.3042993545532227
n000008_0003_01.jpg,0.8,2.56156849861145
n000008_0004_01.jpg,0.8,2.634155511856079
n000010_0012_01.jpg,0.8,2.984654664993286
n000010_0014_01.jpg,0.8,2.868619918823242
n000010_0015_01.jpg,0.8,2.6778762340545654
n000011_0005_01.jpg,0.8,2.978905439376831
n000011_0006_01.jpg,0.8,3.1212897300720215
n000011_0011_01.jpg,0.8,2.9965968132019043
n000012_0006_01.jpg,0.8,3.0012919902801514
n000012_0006_02.jpg,0.8,2.6911797523498535
n000012_0007_01.jpg,0.8,3.4591493606567383
n000013_0003_01.jpg,0.8,2.616743564605713
n000013_0006_01.jpg,0.8,2.6130754947662354
n000013_0010_01.jpg,0.8,2.5810139179229736
n000014_0002_01.jpg,0.8,2.6592159271240234
n000014_0003_01.jpg,0.8,2.602118492126465
n000014_0004_01.jpg,0.8,2.5800647735595703
n000015_0007_01.jpg,0.8,3.208979845046997
n000015_0010_01.jpg,0.8,2.4095048904418945
n000015_0012_01.jpg,0.8,3.042823553085327
n000016_0003_01.jpg,0.8,3.260399341583252
n000016_0004_01.jpg,0.8,3.191890239715576
