w_nh,w_hdic,EER,EER_Threshold,Accuracy_at_EER,Precision,Recall,F1_Score,FAR,FRR,TP,TN,FP,FN,Genuine_Mean,Genuine_Std,Impostor_Mean,Impostor_Std
0.0,1.0,0.01218784779556713,0.6262626262626263,0.9882506527415144,0.9826388888888888,0.9860627177700348,0.9843478260869565,0.010438413361169102,0.013937282229965157,283,474,5,4,0.7934,0.05900843676760212,0.5087480167014614,0.04936840747703021
0.1,0.9,0.01218784779556713,0.6363636363636365,0.9882506527415144,0.9826388888888888,0.9860627177700348,0.9843478260869565,0.010438413361169102,0.013937282229965157,283,474,5,4,0.8008776538908247,0.05736198712232002,0.5228197181628392,0.04791371125709569
0.2,0.8,0.011489528852938396,0.6464646464646465,0.9882506527415144,0.9793103448275862,0.9895470383275261,0.9844020797227035,0.012526096033402923,0.010452961672473868,284,473,6,3,0.8083553077816492,0.05584006422697553,0.5368914196242172,0.04677692258081188
0.3,0.7,0.011489528852938396,0.6666666666666667,0.9882506527415144,0.9793103448275862,0.9895470383275261,0.9844020797227035,0.012526096033402923,0.010452961672473868,284,473,6,3,0.8158329616724738,0.05445311036580671,0.550963121085595,0.045981626068755804
0.4,0.6,0.012533370189055305,0.6666666666666667,0.9869451697127938,0.9759450171821306,0.9895470383275261,0.9826989619377162,0.014613778705636743,0.010452961672473868,284,472,7,3,0.8233106155632984,0.05321168042389881,0.5650348225469728,0.04554571413223402
0.5,0.5,0.011489528852938396,0.686868686868687,0.9882506527415144,0.9793103448275862,0.9895470383275261,0.9844020797227035,0.012526096033402923,0.010452961672473868,284,473,6,3,0.8307882694541231,0.0521261727728593,0.5791065240083507,0.04547952182901843
0.6,0.4,0.011489528852938396,0.696969696969697,0.9882506527415144,0.9793103448275862,0.9895470383275261,0.9844020797227035,0.012526096033402923,0.010452961672473868,284,473,6,3,0.8382659233449476,0.05120650438902516,0.5931782254697285,0.045784652732873604
0.7,0.3,0.013930008074312774,0.7171717171717172,0.9869451697127938,0.9825783972125436,0.9825783972125436,0.9825783972125436,0.010438413361169102,0.017421602787456445,282,474,5,5,0.8457435772357723,0.05046174337978189,0.6072499269311065,0.04645379033013541
0.8,0.2,0.014973849410429684,0.7272727272727273,0.9856396866840731,0.9791666666666666,0.9825783972125436,0.9808695652173912,0.012526096033402923,0.017421602787456445,282,473,6,5,0.853221231126597,0.04989972191803381,0.6213216283924844,0.04747154449030723
0.9,0.1,0.019149214754897323,0.7373737373737375,0.9804177545691906,0.9657534246575342,0.9825783972125436,0.9740932642487047,0.020876826722338204,0.017421602787456445,282,469,10,5,0.8606988850174215,0.04952666150119224,0.6353933298538622,0.048816115439954226
1.0,0.0,0.018105373418780414,0.7575757575757577,0.9817232375979112,0.9690721649484536,0.9825783972125436,0.9757785467128027,0.018789144050104383,0.017421602787456445,282,470,9,5,0.8681765389082463,0.049346847931723926,0.6494650313152401,0.05046138530689919
