Tnh,Thdic@EER,FAR,FRR,EER
15,3700,0.0018552875695732839,0.15555555555555556,0.07870542156256442
20,4000,0.011131725417439703,0.03518518518518519,0.023158455301312445
25,3400,0.00927643784786642,0.016666666666666666,0.012971552257266542
30,3400,0.02040816326530612,0.011111111111111112,0.015759637188208615
35,3100,0.0,0.011111111111111112,0.005555555555555556
