w_nh,Tnh,Thdic@EER,FAR,FRR,EER
0.3,20,3400,0.0037105751391465678,0.037037037037037035,0.020373806088091802
0.3,25,3400,0.0055658627087198514,0.018518518518518517,0.012042190613619184
0.3,30,3400,0.0055658627087198514,0.011111111111111112,0.008338486909915482
0.5,20,4000,0.00927643784786642,0.03518518518518519,0.022230811516525804
0.5,25,3400,0.00927643784786642,0.016666666666666666,0.012971552257266542
0.5,30,3400,0.011131725417439703,0.011111111111111112,0.011121418264275408
0.7,20,4000,0.011131725417439703,0.03518518518518519,0.023158455301312445
0.7,25,3400,0.00927643784786642,0.016666666666666666,0.012971552257266542
0.7,30,3400,0.016697588126159554,0.011111111111111112,0.013904349618635334
