Tnh,Thdic,FAR,FRR,TAR,Accuracy
15,1000,0.0,0.9370370370366032,0.06296296296339676,0.06296296296293381
15,1250,0.0,0.7259259259255898,0.2740740740744102,0.2740740740739472
15,1500,0.0,0.4814814814812586,0.5185185185187414,0.5185185185182785
15,1750,0.0,0.2703703703702452,0.7296296296297549,0.7296296296292918
15,2000,0.0,0.17037037037029149,0.8296296296297085,0.8296296296292456
15,2250,0.0,0.1305555555554951,0.8694444444445049,0.8694444444440419
15,2500,0.0,0.11851851851846365,0.8814814814815364,0.8814814814810734
15,2750,0.0,0.11388888888883617,0.8861111111111638,0.8861111111107008
15,3000,0.0,0.11111111111105967,0.8888888888889404,0.8888888888884774
15,3250,0.002780352177941251,0.11111111111105967,0.8888888888889404,0.8888888888884774
15,3500,0.005560704355882502,0.11111111111105967,0.8888888888889404,0.8888888888884774
15,3750,0.005560704355882502,0.11111111111105967,0.8888888888889404,0.8888888888884774
15,4000,0.005560704355882502,0.11111111111105967,0.8888888888889404,0.8888888888884774
20,1000,0.0,0.9370370370366032,0.06296296296339676,0.06296296296293381
20,1250,0.0,0.7259259259255898,0.2740740740744102,0.2740740740739472
20,1500,0.0,0.4787037037034821,0.521296296296518,0.521296296296055
20,1750,0.0,0.2601851851850647,0.7398148148149353,0.7398148148144723
20,2000,0.0,0.12777777777771862,0.8722222222222814,0.8722222222218184
20,2250,0.0,0.0675925925925613,0.9324074074074387,0.9324074074069757
20,2500,0.0018535681186275007,0.037962962962945386,0.9620370370370546,0.9620370370365916
20,2750,0.004633920296568752,0.025925925925913924,0.9740740740740861,0.9740740740736231
20,3000,0.019462465245588756,0.021296296296286436,0.9787037037037135,0.9787037037032507
20,3250,0.05004633920294252,0.021296296296286436,0.9787037037037135,0.9787037037032507
20,3500,0.08155699721961003,0.01944444444443544,0.9805555555555645,0.9805555555551017
20,3750,0.1177015755328463,0.01944444444443544,0.9805555555555645,0.9805555555551017
20,4000,0.13160333642255254,0.01944444444443544,0.9805555555555645,0.9805555555551017
25,1000,0.0,0.9370370370366032,0.06296296296339676,0.06296296296293381
25,1250,0.0,0.7259259259255898,0.2740740740744102,0.2740740740739472
25,1500,0.0,0.4787037037034821,0.521296296296518,0.521296296296055
25,1750,0.0,0.2601851851850647,0.7398148148149353,0.7398148148144723
25,2000,0.0,0.12685185185179312,0.8731481481482068,0.8731481481477439
25,2250,0.0,0.0657407407407103,0.9342592592592897,0.9342592592588267
25,2500,0.0018535681186275007,0.035185185185168895,0.9648148148148311,0.9648148148143681
25,2750,0.007414272474510003,0.02037037037036094,0.9796296296296391,0.9796296296291761
25,3000,0.037998146431863764,0.012962962962956962,0.987037037037043,0.9870370370365801
25,3250,0.12048192771078754,0.012037037037031465,0.9879629629629685,0.9879629629625056
25,3500,0.25857275254853634,0.01018518518518047,0.9898148148148195,0.9898148148143566
25,3750,0.42075996292844264,0.01018518518518047,0.9898148148148195,0.9898148148143566
25,4000,0.638554216867174,0.01018518518518047,0.9898148148148195,0.9898148148143566
